timestamp,total_demand_mw,hour,day_of_week,month,is_weekend,demand_Chennai_Metro_mw,demand_North_TamilNadu_mw,demand_South_TamilNadu_mw,demand_West_TamilNadu_mw,frequency_hz,power_factor,transmission_loss_pct,scada_data_quality,anomaly,anomaly_type,attack_technique
2023-01-01 00:00:00,7189.408547542022,0,6,1,1,2061.605011195384,1587.6873762281032,1851.3831973332137,1778.2958419437275,50.05680330961237,0.9555047218024693,21.409803273845238,1,0,Normal,
2023-01-01 01:00:00,7151.402570517356,1,6,1,1,1937.6297887115038,1609.3314102676218,1826.7876318973165,1822.2515286625724,50.03257028240867,0.9515684217816418,19.45018452932789,1,0,Normal,
2023-01-01 02:00:00,7487.630864832473,2,6,1,1,2037.1589838143404,1604.3494789816448,1893.833023993561,1806.4990107100218,49.9789629902574,0.9313031935801329,19.680227120631574,1,0,Normal,
2023-01-01 03:00:00,7946.140347500161,3,6,1,1,2253.864788203502,1832.9266674125283,2018.4293897463604,1929.070306622893,50.04014144559596,0.9702058448762046,20.709601616117116,1,0,Normal,
2023-01-01 04:00:00,8017.4717684260695,4,6,1,1,2241.675212790341,1661.4854447955618,2013.3765598813648,1989.446177324145,50.104095403433895,0.9388564860740501,20.069188578306992,1,0,Normal,
2023-01-01 05:00:00,8466.349567874851,5,6,1,1,2347.8192898072703,1935.367379041069,2131.6930448335343,2048.307206801829,50.0156555946431,0.9566156976136989,19.23602209500861,1,0,Normal,
2023-01-01 06:00:00,9273.272236532144,6,6,1,1,2647.2976204287243,2037.8606156158137,2329.369320690588,2223.294545185203,50.07101797297166,0.9357895477403981,20.793699580535048,1,0,Normal,
2023-01-01 07:00:00,9607.547713017631,7,6,1,1,2699.4863287493827,2163.7894875774587,2401.88386597303,2327.2130702734203,50.04257944083985,0.987228974647666,21.945164102135248,1,0,Normal,
2023-01-01 08:00:00,9833.406557898943,8,6,1,1,2755.9767055561765,2181.541464452398,2496.0203336663,2446.215910052297,49.98527815157572,0.9698752559358492,21.27011235203861,1,0,Normal,
2023-01-01 09:00:00,10402.57714009535,9,6,1,1,2951.713031264451,2305.8686913665174,2618.7083903338576,2632.1708258401113,50.00986489848571,0.9383837972671643,21.627896458449072,1,0,Normal,
2023-01-01 10:00:00,10521.582385582971,10,6,1,1,2927.287618216054,2342.4608486295797,2586.359844840395,2662.963923115384,50.02631412334872,0.951326908925404,19.832747112213564,1,0,Normal,
2023-01-01 11:00:00,10714.81061620287,11,6,1,1,3078.572921810432,2397.7110500190206,2705.14637332685,2758.0984256776724,49.962751512816396,0.9345615897776448,18.70083813839406,1,0,Normal,
2023-01-01 12:00:00,10917.12892905915,12,6,1,1,3017.393718974912,2385.3268230636513,2741.644585583753,2734.365488143331,49.86953756723279,0.9446602063624615,17.599671026805648,1,0,Normal,
2023-01-01 13:00:00,10481.209577518819,13,6,1,1,2967.5851350223743,2357.606063580452,2650.8730678254597,2632.112419996146,49.958296221856045,0.9563441938290076,17.513634828646797,1,0,Normal,
2023-01-01 14:00:00,10348.390766947256,14,6,1,1,2969.241056678224,2222.4224375494573,2581.8873460560626,2574.5773398853967,49.8920929525774,0.9626757098210696,19.755981280628585,1,0,Normal,
2023-01-01 15:00:00,10284.428007186458,15,6,1,1,2810.7750675486036,2262.3076329147143,2611.6940174849724,2561.015678509814,49.962427328667935,0.9314242012201196,20.608191469076168,1,0,Normal,
2023-01-01 16:00:00,9843.057931651523,16,6,1,1,2738.8894620698043,2207.271241176949,2457.694055369573,2564.7917494926414,49.91462777268763,0.9387716366741977,21.011698497206933,1,0,Normal,
2023-01-01 17:00:00,9660.011478401313,17,6,1,1,2761.913583596646,2174.9534042290834,2451.1968539303557,2428.07044146308,50.04400543520375,0.9641264805213018,20.291713190558305,1,0,Normal,
2023-01-01 18:00:00,8986.001591956832,18,6,1,1,2573.9426731344647,1999.959792643573,2223.6768221916827,2263.914111443914,49.94087012496331,0.969858694004565,19.134066403538363,1,0,Normal,
2023-01-01 19:00:00,8440.881732230648,19,6,1,1,2354.8721050051695,1837.3243591929556,2090.8577303527145,2052.9647179118138,50.02720540444766,0.938403093726556,20.78539957165783,1,0,Normal,
2023-01-01 20:00:00,8535.947607642926,20,6,1,1,2353.3317754561763,1922.7438625998789,2164.0895280712375,2154.5080156559848,50.03833010315867,0.964352828030729,18.562216073804247,1,0,Normal,
2023-01-01 21:00:00,7869.47883400849,21,6,1,1,2251.2508646389156,1697.8170315259301,1950.7810388148853,2000.2863074682957,50.03507543868451,0.9314661126974788,18.675504210919538,1,0,Normal,
2023-01-01 22:00:00,7646.604796790462,22,6,1,1,2200.2267982304097,1769.8235089813472,2021.9403339350238,1967.1667055945088,49.90658319079677,0.9455374841723382,20.73552526098833,1,0,Normal,
2023-01-01 23:00:00,7208.149171353089,23,6,1,1,1960.0486005532453,1581.5592728226964,1830.3595421772234,1833.5415190833473,50.05613221977011,0.9328338796706422,18.52018426610393,1,0,Normal,
2023-01-02 00:00:00,7314.832599047209,0,0,1,0,1987.9574452848997,1532.2818870800882,1829.9543240695125,1822.3712383576033,50.02101691830257,0.9439139613102266,19.08167370597979,1,0,Normal,
2023-01-02 01:00:00,7503.235149379719,1,0,1,0,2112.1686759255017,1590.9775594627106,1916.8038261828722,1867.3376217017692,50.04021328706012,0.9786390843102781,18.826776417622078,1,0,Normal,
2023-01-02 02:00:00,7464.57526842136,2,0,1,0,2121.549106829426,1644.3887408966787,1842.1097966065142,1862.539783166895,50.09149381346018,0.9491764858446439,20.202963016116332,1,0,Normal,
2023-01-02 03:00:00,8033.635625720332,3,0,1,0,2234.4645209401906,1774.3911012247759,2054.559647391734,2013.7682586081282,50.039716606855336,0.9457710279942504,20.70584661487829,1,0,Normal,
2023-01-02 04:00:00,8238.416194228636,4,0,1,0,2340.721225383136,1910.9343969778547,2104.3658093903355,2122.986570597468,49.94086736845253,0.9415283839460286,20.73674697540742,1,0,Normal,
2023-01-02 05:00:00,8735.396794806096,5,0,1,0,2410.404272203838,1869.86232797663,2246.5259015905017,2237.4811761615842,50.03266417204244,0.9455027288208924,19.30362369150743,1,0,Normal,
2023-01-02 06:00:00,9152.219255771743,6,0,1,0,2456.8867116624015,2015.4613462349798,2266.014337375507,2325.7003616292245,49.92481915531105,0.9378723830958904,19.798587043334866,1,0,Normal,
2023-01-02 07:00:00,10066.057569421153,7,0,1,0,2797.3010658212934,2161.561594918551,2455.377729648401,2617.974891378803,49.996851719058114,0.9520520551134403,20.882083426064373,1,0,Normal,
2023-01-02 08:00:00,10170.078034146443,8,0,1,0,2850.783456886659,2212.784424851547,2512.0117765764835,2409.7075897727696,49.974838560010994,0.9495110902693794,19.363549731006966,1,0,Normal,
2023-01-02 09:00:00,10360.125637247855,9,0,1,0,2887.0431804345767,2363.426241697995,2575.9498835133263,2567.028480595662,50.00050752701807,0.943138884580483,18.90450333883538,1,0,Normal,
2023-01-02 10:00:00,10989.31133915446,10,0,1,0,3019.0770117802745,2360.8316834561815,2830.6884148312024,2746.764203832896,49.9245228914106,0.9418209668552424,19.23011177033879,1,0,Normal,
2023-01-02 11:00:00,10805.4740149234,11,0,1,0,2934.7502753846115,2406.5564044865396,2811.1191051872374,2667.7570300328016,49.93028104618159,0.9527425423856815,19.270563529570907,1,0,Normal,
